,name,male,culture,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,popularity,identity,isAlive
37,Yohn Farwynd,1,Ironborn,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0,0.010033445,noble,1
38,Yorkel,0,,House Targaryen,0,0,0,0,0,0,0,,0,0,0,smallfolk,1
39,Yorko Terys,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.023411371,smallfolk,1
40,Yormwell,0,,,0,0,0,0,0,0,1,,0,0,0.003344482,official,1
41,Young Henly,1,,Night's Watch,0,0,1,0,0,0,0,59,0,0,0.013377926,smallfolk,0
42,Ysilla,0,,,0,0,0,0,1,1,0,,0,0,0.040133779,warrior,1
43,Zarabelo,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official,1
44,Zei,0,,,0,0,1,0,0,0,0,,0,0,0.013377926,smallfolk,1
45,Zekko,1,Dothraki,,0,0,0,0,1,0,0,,0,0,0.013377926,warrior,1
46,Zharaq zo Loraq,1,Ghiscari,House of Loraq,0,0,0,0,1,0,0,,0,0,0.010033445,noble,1
47,Wenda,0,,Kingswood Brotherhood,0,0,1,1,0,0,0,,0,0,0.016722408,warrior,1
48,Wex Pyke,1,Ironborn,House Botley,0,1,1,1,1,0,0,19,0,0,0.113712375,noble,1
49,Timett,1,Vale mountain clans,Burned Men,1,1,1,0,1,0,1,27,0,0,0.073578595,smallfolk,1
50,Joffrey Baratheon,1,,,0,0,0,0,0,0,0,,5,1,1,king,0
51,Laenor Velaryon,1,Valyrian,House Velaryon,0,0,0,0,0,1,1,26,0,0,0.193979933,knight,0
52,Leobald Tallhart,1,Northmen,House Tallhart,0,1,1,1,1,1,1,,0,0,0.110367893,noble,0
53,Maegor I Targaryen,1,,,0,0,0,0,0,0,0,,0,0,0.705685619,king,0
54,Margaery Tyrell,0,Reach,House Tyrell,1,1,1,1,1,1,1,22,3,1,1,official,1
55,Naerys Targaryen,0,Valyrian,House Targaryen,1,0,0,0,0,1,1,100,12,1,0.220735786,official,0
56,Quence,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk,1
57,Quellon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble,1
58,Quellon Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,1,1,,0,0,0.090301003,lord,0
59,Quentyn Blackwood,0,,House Blackwood,0,0,0,0,0,0,1,,0,0,0.02006689,noble,0
60,Quenton Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.060200669,noble,1
61,Quhuru Mo,1,Summer Isles,,0,1,0,1,0,0,0,,0,0,0.040133779,warrior,1
62,Quickfinger,1,,House Blackfyre,0,0,0,0,0,0,0,,0,0,0.010033445,warrior,1
63,Quill,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk,1
64,Quentin Tyrell,0,,House Tyrell,0,0,1,1,0,0,1,,0,0,0.127090301,knight,1
65,Quort,1,,wildling,0,0,1,0,0,0,0,14,0,0,0.010033445,smallfolk,0
66,Qyle,1,,,0,1,0,0,0,0,0,,0,0,0.013377926,warrior,0
67,Rafe,0,,,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
68,Racallio Ryndoon,1,Tyroshi,Kingdom of the Three Daughters,0,0,0,0,0,0,0,,0,0,0.010033445,king,1
69,Ragnor Pyke,0,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.010033445,warrior,1
70,Rainbow Knight,0,,,1,0,0,0,0,0,0,,0,0,0.003344482,knight,1
71,Randa,0,,,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk,1
72,Rast,1,,Night's Watch,1,1,1,0,0,0,0,,0,0,0.066889632,warrior,0
73,Rawney,1,,,0,0,0,1,0,0,1,,0,0,0.010033445,smallfolk,1
74,Raymar Royce,1,,House Royce of the Gates of the Moon,0,0,1,0,0,0,1,,0,0,0.013377926,noble,1
75,Raymond Nayland,0,,House Nayland,0,0,0,1,0,0,1,,0,0,0.016722408,knight,1
76,Raymund Tyrell,0,,House Tyrell,0,0,1,1,0,0,0,,0,0,0.127090301,noble,1
77,Red Oarsman,0,Ironborn,,0,0,0,1,1,0,0,,0,0,0.016722408,warrior,1
78,Red Lamb,1,Lhazarene,House Targaryen,0,0,0,0,0,0,1,,0,0,0,knight,1
79,Redtusk,1,,,0,0,0,0,0,0,1,,0,0,0.016722408,knight,1
80,Red Rolfe,1,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.013377926,warrior,0
81,Redwyn,0,,Night's Watch,0,1,0,0,0,0,0,,0,0,0.006688963,warrior,1
82,Reynard Webber,0,,House Webber,0,0,0,0,0,0,1,,0,0,0.006688963,noble,1
83,Reysen,1,,,0,1,0,0,0,0,0,,0,0,0.023411371,warrior,1
84,Rhaegel Targaryen,1,Valyrian,House Targaryen,0,0,0,0,0,1,1,42,3,1,0.096989967,prince,0
85,Rhaena Targaryen (daughter of Daemon),0,,House Targaryen,0,0,0,0,0,1,1,100,0,0,0.143812709,knight,0
86,Rhaena Targaryen (daughter of Aegon III),0,Valyrian,House Targaryen,0,0,0,0,0,0,1,100,0,0,0.073578595,noble,0
87,Rhaenys Targaryen,0,Valyrian,House Targaryen,1,0,0,0,0,1,1,35,1,1,0.277591973,official,0
88,Rhaenys Targaryen (daughter of Rhaegar),0,,House Targaryen,1,1,1,1,1,0,1,3,10,1,0.244147157,noble,0
89,Rhialta Vance,0,,House Vance of Wayfarer's Rest,0,0,0,1,0,0,0,,0,0,0.016722408,noble,1
90,Rhaenys Targaryen (daughter of Aemon),0,Valyrian,House Targaryen,0,0,0,0,0,1,1,55,0,0,0.143812709,knight,0
91,Rhonda Rowan,0,,House Rowan,0,0,0,1,0,1,0,,0,0,0.050167224,noble,1
92,Richard Farrow,0,,House Farrow,0,0,0,1,0,0,1,,0,0,0.016722408,knight,0
93,Richard Lonmouth,1,,House Lonmouth,0,0,1,0,0,0,1,,0,0,0.023411371,knight,1
94,Rigney,1,,,0,0,0,1,0,0,1,,0,0,0.003344482,official,1
95,Rob,1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
96,Rickard Tyrell,1,,House Tyrell,0,0,1,1,0,0,0,,0,0,0.123745819,noble,1
97,Robb Reyne,1,,House Reyne,0,0,0,0,0,0,1,,0,0,0.006688963,warrior,1
98,Robert Ashford,1,Reach,House Ashford,0,0,0,0,0,0,1,,0,0,0.023411371,knight,1
99,Robert Brax (son of Flement),1,,House Brax,0,1,1,1,0,0,0,15,0,0,0.120401338,noble,1
100,Robert Paege,0,,House Paege,0,0,1,0,0,0,1,,0,0,0.010033445,knight,1
101,Robb Stark,1,,,0,0,0,0,0,0,0,,7,1,1,king,0
102,Robin,1,,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk,1
103,Robert Frey (son of Raymund),1,,House Frey,0,1,1,1,0,0,0,22,0,0,0.147157191,official,1
104,Robin Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.063545151,noble,1
105,Robin Hollard,1,,House Hollard,0,0,0,1,0,0,0,,0,0,0.026755853,noble,1
106,Rodrik Freeborn,1,Ironborn,,0,0,0,1,1,0,0,,0,0,0.013377926,warrior,1
107,Roelle,0,,House Tarth,0,0,0,1,0,0,0,,0,0,0,official,1
108,Rodrik Stark (son of Beron),1,Northmen,House Stark,0,0,0,0,1,1,0,,0,0,0.100334448,noble,1
109,Roger of Pennytree,1,,,0,0,0,0,0,0,0,,0,0,0.030100334,noble,0
110,Roggo,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk,1
111,Roger Ryswell,1,Northmen,House Ryswell,0,0,0,1,1,0,0,,0,0,0.046822742,noble,1
112,Rolder,1,,House Lannister,0,0,0,1,0,0,0,,0,0,0,smallfolk,1
113,Roland Crakehall (Kingsguard),1,,House Crakehall,0,0,0,0,0,0,1,,0,0,0.02006689,noble,1
114,Rolfe,1,,,0,1,0,0,0,0,0,,0,0,0.003344482,warrior,1
115,Rolland Darklyn,1,,House Darklyn,0,0,0,1,0,0,1,,0,0,0.010033445,noble,1
116,Rollam Westerling,1,,House Westerling,0,0,1,1,0,0,0,15,0,0,0.043478261,noble,1
117,Romny Weaver,1,Ironborn,House Weaver,0,0,0,1,0,0,0,,0,0,0.02006689,noble,1
118,Ronald Storm,1,,House Connington,0,0,0,0,1,0,0,,0,0,0.040133779,smallfolk,1
119,Ronnel Stout,0,Northmen,House Stout,0,0,1,0,0,0,0,,0,0,0.033444816,noble,1
120,Ronnel Harclay,0,,House Harclay,0,0,1,0,0,0,0,,0,0,0.013377926,warrior,1
121,Roone,1,,,0,0,0,1,0,0,0,19,0,0,0.040133779,official,1
122,Roone (maester),1,,,0,0,1,1,0,0,1,,0,0,0.010033445,official,1
123,Roryn Drumm,0,Ironborn,House Drumm,0,0,0,1,0,0,0,,0,0,0.003344482,noble,1
124,Roose Ryswell,1,Northmen,House Ryswell,0,0,0,1,1,0,0,,0,0,0.030100334,noble,1
125,Rosamund Lannister,0,,House Lannister of Lannisport,0,0,0,1,1,0,0,,0,0,0.023411371,noble,1
126,Rosey,0,,,0,0,0,1,0,0,0,21,0,0,0.030100334,smallfolk,1
127,Rowan,1,Free folk,,0,0,0,0,1,0,0,,0,0,0.060200669,warrior,0
128,Rudge,0,,Night's Watch,1,0,0,0,0,0,0,,0,0,0,smallfolk,1
129,Runciter,1,,,0,0,0,0,0,0,1,,0,0,0.244147157,official,0
130,Rupert Crabb,0,,House Crabb,0,0,0,1,0,0,1,,0,0,0.006688963,knight,1
131,Rus,0,Ironmen,Drowned men,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk,1
132,Rusty Flowers,1,,Night's Watch,0,0,0,0,1,0,0,,0,0,0,smallfolk,1
133,Ryam,1,,,0,0,0,1,0,0,1,,0,0,0.013377926,official,1
134,Ryk,1,Free folk,,0,0,1,1,1,1,0,,0,0,0.026755853,smallfolk,1
135,Ryles,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.013377926,warrior,0
136,Rymolf,0,Ironborn,House Greyjoy,0,0,0,0,0,0,0,,0,0,0,warrior,1
137,S'vrone,0,Braavosi,,0,0,0,0,0,0,0,,0,0,0.013377926,smallfolk,1
138,Saathos,0,,,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
139,Sailor's Wife,0,,Happy Port,0,0,0,0,0,0,0,,0,0,0.046822742,smallfolk,1
140,Sallor,1,Qartheen,Stormcrows,0,0,1,0,0,0,0,,0,0,0.030100334,smallfolk,0
141,Salloreon,1,,Antler Men,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk,1
142,Sam Stoops,1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
143,Samwell Spicer,1,,House Spicer,0,0,1,1,0,0,1,,0,0,0.013377926,noble,1
144,Sargon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.053511706,noble,1
145,Scarb,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,warrior,1
146,Sawwood,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,smallfolk,1
147,Sedgekins,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk,1
148,Sefton Staunton,1,,House Staunton,0,0,0,0,0,0,0,,0,0,0.030100334,official,1
149,Serra,0,Lysene,,0,0,0,0,1,1,0,,0,0,0.016722408,smallfolk,1
150,Sharna,0,,,0,0,1,1,0,1,0,,0,0,0.036789298,smallfolk,1
151,Shella,0,,,1,0,0,0,0,0,0,,0,0,0.003344482,noble,1
152,Sherrit,0,,,0,0,1,0,0,0,1,,0,0,0.003344482,king,1
153,Shortear,0,westermen,House Lannister,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk,1
154,Shyra,0,Northmen,House Stark,0,1,0,1,0,0,0,,0,0,0.02006689,smallfolk,1
155,Sigfry Stonetree,1,Ironborn,House Stonetree,0,0,0,1,0,0,0,,0,0,0.003344482,noble,1
156,Sigrin,1,Ironborn,House Greyjoy,0,1,1,0,0,0,0,,0,0,0.023411371,smallfolk,1
157,Simon Leygood,0,,House Leygood,0,0,0,0,0,0,1,,0,0,0.003344482,knight,1
158,Sky Blue Su,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk,1
159,Skinner,1,,House Bolton,0,0,0,0,1,0,0,,0,0,0.033444816,warrior,1
160,Skittrick,0,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
161,Skyte,1,Ironborn,,0,1,1,1,0,0,0,,0,0,0.023411371,smallfolk,1
162,Sloey,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk,1
163,Spare Boot,1,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.013377926,smallfolk,1
164,Softfoot,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.02006689,warrior,0
165,Spotted Pate of Maidenpool,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.013377926,smallfolk,0
166,Squint,0,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk,0
167,Squirrel,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.043478261,warrior,0
168,Steffarion Sparr,1,Ironborn,House Sparr,0,0,0,1,0,0,0,,0,0,0.02006689,noble,1
169,Stafford Lannister,1,Westerman,House Lannister,1,1,1,1,1,1,1,53,1,1,0.170568562,knight,0
170,Steffon Fossoway,1,,House Fossoway of Cider Hall,0,0,0,0,0,0,1,,0,0,0.040133779,knight,1
171,Steffon Hollard,0,,House Hollard,0,0,0,1,0,0,1,,0,0,0.026755853,knight,1
172,Stannis Baratheon,1,,,0,0,0,0,0,0,0,,4,1,1,king,1
173,Steffon Varner,1,,House Varner,0,1,0,0,0,0,1,,0,0,0.013377926,knight,1
174,Stone Thumbs,0,Free Folk,,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk,0
175,Stonehand,0,Ironborn,,0,0,0,1,1,0,0,,0,0,0.010033445,warrior,1
176,Sybassion,1,Qarth,,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk,1
177,Sylas,0,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk,0
178,Symon Stripeback,1,,House Targaryen,0,0,0,0,1,0,0,,0,0,0.043478261,smallfolk,1
179,Symond Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble,1
180,Tagganaro,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.030100334,smallfolk,1
181,Tal Toraq,1,Summer Isles,House Targaryen,0,0,0,0,1,0,0,,0,0,0.023411371,smallfolk,1
182,Talea,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk,1
183,Talla Tarly,1,,House Tarly,0,0,1,0,0,0,0,,0,0,0.070234114,noble,1
184,Tansy,0,,Peach,0,0,1,1,0,0,0,,0,0,0.023411371,smallfolk,1
185,Tansy (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk,1
186,Tarber,1,,,0,1,0,0,0,0,0,,0,0,0.033444816,warrior,1
187,Terrance Lynderly,0,,House Lynderly,0,0,0,1,0,0,0,,0,0,0.016722408,noble,1
188,Terro,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk,1
189,Theo Frey,1,,House Frey,1,0,0,0,0,0,1,,0,0,0.013377926,knight,1
190,Theobald,1,,,0,0,0,1,0,0,1,,0,0,0.02006689,official,1
191,Thistle,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.016722408,warrior,0
192,Theon Stark,1,Northmen,,0,0,0,0,0,0,0,,0,0,0.056856187,king,1
193,Thormor Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,0,0,0,,0,0,0.016722408,noble,1
194,Tim Stone,0,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.016722408,warrior,1
195,Timon,0,,,0,1,1,0,0,0,1,,0,0,0.006688963,knight,1
196,Timett (father),0,Vale mountain clans,Burned Men,1,1,0,0,1,0,0,,0,0,0.013377926,smallfolk,1
197,Timoth,1,,House Martell,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk,1
198,Tobbot,0,,House Clegane,0,1,0,0,0,0,0,,0,0,0.010033445,smallfolk,1
199,Toefinger,1,Free Folk,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk,1
200,Todric,1,,,0,1,0,0,0,0,0,,0,0,0.016722408,smallfolk,0
201,Tom Costayne,0,,House Costayne,0,0,0,1,0,0,1,,0,0,0.006688963,noble,1
202,TomToo,0,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk,1
203,Tommard Heddle,1,,House Heddle,0,0,0,0,0,0,1,,0,0,0.046822742,knight,0
204,Toregg,1,Free Folk,,0,0,1,1,1,0,0,,0,0,0.026755853,smallfolk,1
205,Torrek,0,Vale mountain clans,Stone Crows,1,0,0,0,0,0,0,,0,0,0,smallfolk,1
206,Tothmure,1,,,0,1,0,0,0,0,1,,0,0,0.013377926,official,0
207,Torrhen Stark,1,Northmen,,0,0,0,0,0,0,0,,0,0,0.090301003,king,1
208,Tregar,0,,House Lannister,1,0,0,0,0,0,0,,0,0,0.006688963,warrior,0
209,Tregar Ormollen,1,Lyseni,,0,1,0,1,0,0,0,,0,0,0.023411371,smallfolk,1
210,Tristan Ryger,0,,House Ryger,0,0,1,0,0,0,0,,0,0,0.006688963,noble,1
211,Tristifer V Mudd,1,,,0,0,0,0,0,0,0,,0,0,0.016722408,king,1
212,Tristimun,1,,Sea watch,0,0,1,0,0,0,1,,0,0,0,knight,1
213,Tristifer IV Mudd,1,,,0,0,0,0,0,0,0,,0,0,0.053511706,king,0
214,Tuffleberry,0,,,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
215,Tumberjon,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,warrior,1
216,Tumco Lho,1,Ghiscari,,0,0,0,0,1,0,1,,0,0,0.030100334,knight,1
217,Turnip,0,northmen,House Stark,0,1,0,1,0,0,0,,0,0,0.016722408,smallfolk,1
218,Turquin,1,,,0,0,1,0,0,0,1,,0,0,0.003344482,official,1
219,Tybero Istarion,1,,Second Sons,0,0,0,0,1,0,0,,0,0,0.013377926,smallfolk,1
220,Tymor,1,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
221,Ulf the Ill,0,Ironborn,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.013377926,warrior,0
222,Tywin Frey (son of Raymund),1,,House Frey,0,0,0,1,0,0,0,6,0,0,0.133779264,noble,1
223,Uller,1,Ironborn,House Greyjoy,0,1,1,1,0,0,0,,0,0,0.023411371,smallfolk,1
224,Umar,0,Vale mountain clans,Moon Brothers,1,0,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
225,Umfred,0,,House Baelish,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk,1
226,Umma,0,,Faceless Men,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk,1
227,Urreg,0,,,0,1,0,0,0,0,0,,0,0,0.010033445,warrior,1
228,Urek Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,0,0,0,,0,0,0.016722408,noble,1
229,Urrathon,0,Qartheen,,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk,1
230,Urzen,1,Ironborn,House Greyjoy,0,1,1,0,0,0,0,,0,0,0.02006689,warrior,1
231,Urron Greyiron,1,Ironborn,,0,0,0,0,0,0,0,,0,0,0.040133779,king,1
232,Urrigon Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,37,0,0,0.073578595,noble,1
233,Uthor Underleaf,1,,,0,0,0,0,0,0,1,100,0,0,0.050167224,knight,0
234,Utt,1,,Brave Companions,0,1,1,0,0,0,0,,0,0,0.023411371,official,0
235,Vaellyn,1,,,0,0,0,1,0,0,1,,0,0,0.013377926,official,1
236,Varly,0,northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.016722408,smallfolk,0
237,Veiled Lady,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk,1
238,Vickon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble,1
239,Violet,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk,1
240,Victor Tyrell,0,,House Tyrell,0,0,1,1,0,0,1,,0,0,0.123745819,knight,1
241,Walda Frey (daughter of Lothar),0,,House Frey,0,1,1,1,0,0,0,11,0,0,0.086956522,noble,1
242,Walda Frey (daughter of Edwyn),0,,House Frey,0,1,1,1,0,0,0,15,0,0,0.10367893,noble,1
243,Walda Frey (daughter of Rhaegar),0,,House Frey,0,0,0,0,0,0,0,17,0,0,0,noble,1
244,Walda Frey (daughter of Walton),0,,House Frey,0,0,0,0,0,0,0,25,0,0,0,noble,1
245,Walda Frey (daughter of Merrett),0,,House Frey,0,0,0,0,0,1,0,22,0,0,0,noble,1
246,Walda Rivers (daughter of Aemon),0,,House Frey,0,0,1,0,0,0,0,10,0,0,0.026755853,smallfolk,1
247,Walder Frey (son of Jammos),1,,House Frey,0,0,0,0,0,0,0,14,0,0,0,noble,1
248,Walder Frey (son of Emmon),0,,House Frey of Riverrun,0,0,0,0,0,0,0,20,0,0,0,noble,1
249,Walder Frey (son of Ryman),1,Rivermen,House Frey,0,0,0,0,0,0,0,45,0,0,0,knight,1
250,Walder Frey (son of Merrett),1,,House Frey,0,0,0,0,0,0,0,9,0,0,0,noble,0
251,Wallen,0,,Night's Watch,1,0,0,0,0,0,0,,0,0,0.02006689,warrior,0
252,Walton,1,northmen,House Bolton,0,1,1,1,1,0,0,,0,0,0.046822742,smallfolk,1
253,Walys Flowers,1,Reach,,0,0,0,0,1,0,1,,0,0,0.023411371,official,0
254,Wat (Barleycorn),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
255,Blue Bard,1,,House Tyrell,0,0,0,1,1,0,0,,0,0,0.053511706,smallfolk,1
256,Wat (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.003344482,smallfolk,1
257,Wat (sailor),0,,,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk,1
258,Wat (Standfast),0,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk,1
259,Wat (Wet),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
260,Wate,0,,House Targaryen,0,0,0,0,0,0,0,,0,0,0,warrior,1
261,Watt,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.016722408,warrior,0
262,Wayn (guard),1,Northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.010033445,smallfolk,1
263,Weasel,1,,,0,1,0,0,0,0,0,9,0,0,0.016722408,smallfolk,1
264,Wendell Webber,1,,House Webber,0,0,0,0,0,0,1,,0,0,0.013377926,knight,1
265,Wendello Qar Deeth,0,Qartheen,,0,1,0,0,0,0,0,,0,0,0.010033445,noble,1
266,Werlag,0,Ironborn,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk,1
267,Rafford,1,,House Clegane,0,1,1,1,1,0,0,,0,0,0.096989967,smallfolk,0
268,Jhogo,0,Dothraki,House Targaryen,1,1,1,1,1,0,0,24,0,0,0.200668896,warrior,1
269,Sour Alyn,1,,House Bolton,0,0,0,0,1,0,0,,0,0,0.043478261,warrior,1
270,Tobho Mott,1,Qohor,,1,1,1,1,1,0,0,,0,0,0.08361204,smallfolk,1
271,Zollo,1,Dothraki,Brave Companions,0,0,1,1,0,0,0,,0,0,0.036789298,smallfolk,1
272,Tanda Stokeworth,0,,House Stokeworth,1,1,1,1,1,0,1,,1,1,0.113712375,noble,0
273,Samwell Tarly,1,Westeros,Night's Watch,1,1,1,1,1,0,0,22,0,0,0.969899666,official,1
274,Abelar Hightower,1,,House Hightower,0,0,0,0,0,0,1,,0,0,0,knight,1
