,name,male,culture,house,book1,book2,book3,book4,book5,isMarried,isNoble,age,numDeadRelations,boolDeadRelations,popularity,identity
1260,Nysterica,0,,,0,0,1,1,1,0,0,,0,0,0.026755853,smallfolk
711,Lorren,1,,,0,1,0,0,0,0,0,,0,0,0.023411371,warrior
0,Viserys II Targaryen,1,,,0,0,0,0,0,0,0,,11,1,0.605351171,king
1,Walder Frey,1,Rivermen,House Frey,1,1,1,1,1,1,1,97,1,1,0.89632107,knight
2,Addison Hill,1,,House Swyft,0,0,0,1,0,0,1,,0,0,0.267558528,lord
3,Aemma Arryn,0,,House Arryn,0,0,0,0,0,1,1,23,0,0,0.183946488,official
4,Sylva Santagar,0,Dornish,House Santagar,0,0,0,1,0,1,1,29,0,0,0.043478261,noble
5,Tommen Baratheon,1,,,0,0,0,0,0,0,0,,5,1,1,king
6,Valarr Targaryen,1,Valyrian,House Targaryen,0,0,0,0,0,1,1,26,0,0,0.431438127,prince
7,Viserys I Targaryen,1,,,0,0,0,0,0,0,0,,5,1,0.678929766,king
8,Wilbert,1,,,0,0,1,0,0,0,1,,0,0,0.006688963,knight
9,Wilbert Osgrey,1,,House Osgrey,0,0,0,0,0,0,1,,0,0,0.02006689,knight
10,Will,1,,Night's Watch,1,1,0,0,0,0,0,,0,0,0.163879599,warrior
11,Will (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.003344482,smallfolk
12,Will (squire),1,,,0,0,0,0,0,0,0,,0,0,0.003344482,noble
13,Will (Standfast),0,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
14,Will (Treb),1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
15,Will Humble,1,Ironborn,House Humble,0,0,0,1,0,0,0,,0,0,0.013377926,warrior
16,Willam,1,,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
17,Willem Wylde,1,,House Wylde,0,0,0,0,0,0,1,,0,0,0.02006689,knight
18,Willifer,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
19,Willit,1,,House Swyft,0,1,0,0,0,0,0,,0,0,0.010033445,smallfolk
20,Willis Wode,1,,House Wode,1,0,0,1,0,0,1,,0,0,0.02006689,knight
21,Willis Fell,0,,House Fell,0,0,0,0,0,0,1,,0,0,0.023411371,lord
22,Willow Heddle,0,,Brotherhood Without Banners,0,0,0,1,0,0,0,16,0,0,0.033444816,smallfolk
23,Willum,1,,,1,0,0,0,0,0,1,,0,0,0,knight
24,Wolmer,1,,House Webber,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
25,Willow Witch-eye,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.050167224,warrior
26,Woth,1,,,0,1,0,0,0,0,0,,0,0,0.030100334,warrior
27,Wulfe,1,Ironborn,House Greyjoy,0,0,0,1,1,0,0,,0,0,0.023411371,warrior
28,Wyl the Whittler,0,,,0,0,1,0,0,0,0,,0,0,0.006688963,smallfolk
29,Wyl (guard),0,Northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.026755853,smallfolk
30,Wyl Waynwood,0,,House Waynwood,0,0,0,0,0,0,0,,0,0,0.013377926,noble
31,Wun Weg Wun Dar Wun,1,,,0,0,0,0,1,0,0,,0,0,0.050167224,warrior
32,Wylla,1,,House Dayne,1,0,1,0,0,0,0,,0,0,0.026755853,smallfolk
33,Wynafryd Manderly,0,,House Manderly,0,0,0,1,1,0,0,25,0,0,0.056856187,noble
34,Xhondo,1,Summer Isles,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
35,Ygon Farwynd,1,,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0,0.010033445,noble
36,Yna,1,,Happy Port,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
37,Yohn Farwynd,1,Ironborn,House Farwynd of the Lonely Light,0,0,0,1,0,0,0,,0,0,0.010033445,noble
38,Yorkel,0,,House Targaryen,0,0,0,0,0,0,0,,0,0,0,smallfolk
39,Yorko Terys,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.023411371,smallfolk
40,Yormwell,0,,,0,0,0,0,0,0,1,,0,0,0.003344482,official
41,Young Henly,1,,Night's Watch,0,0,1,0,0,0,0,59,0,0,0.013377926,smallfolk
42,Ysilla,0,,,0,0,0,0,1,1,0,,0,0,0.040133779,warrior
43,Zarabelo,0,,,0,0,0,1,0,0,1,,0,0,0.006688963,official
44,Zei,0,,,0,0,1,0,0,0,0,,0,0,0.013377926,smallfolk
45,Zekko,1,Dothraki,,0,0,0,0,1,0,0,,0,0,0.013377926,warrior
46,Zharaq zo Loraq,1,Ghiscari,House of Loraq,0,0,0,0,1,0,0,,0,0,0.010033445,noble
48,Wex Pyke,1,Ironborn,House Botley,0,1,1,1,1,0,0,19,0,0,0.113712375,noble
49,Timett,1,Vale mountain clans,Burned Men,1,1,1,0,1,0,1,27,0,0,0.073578595,smallfolk
50,Joffrey Baratheon,1,,,0,0,0,0,0,0,0,,5,1,1,king
51,Laenor Velaryon,1,Valyrian,House Velaryon,0,0,0,0,0,1,1,26,0,0,0.193979933,knight
52,Leobald Tallhart,1,Northmen,House Tallhart,0,1,1,1,1,1,1,,0,0,0.110367893,noble
53,Maegor I Targaryen,1,,,0,0,0,0,0,0,0,,0,0,0.705685619,king
54,Margaery Tyrell,0,Reach,House Tyrell,1,1,1,1,1,1,1,22,3,1,1,official
55,Naerys Targaryen,0,Valyrian,House Targaryen,1,0,0,0,0,1,1,100,12,1,0.220735786,official
57,Quellon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble
58,Quellon Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,1,1,,0,0,0.090301003,lord
59,Quentyn Blackwood,0,,House Blackwood,0,0,0,0,0,0,1,,0,0,0.02006689,noble
60,Quenton Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.060200669,noble
61,Quhuru Mo,1,Summer Isles,,0,1,0,1,0,0,0,,0,0,0.040133779,warrior
62,Quickfinger,1,,House Blackfyre,0,0,0,0,0,0,0,,0,0,0.010033445,warrior
63,Quill,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk
64,Quentin Tyrell,0,,House Tyrell,0,0,1,1,0,0,1,,0,0,0.127090301,knight
65,Quort,1,,wildling,0,0,1,0,0,0,0,14,0,0,0.010033445,smallfolk
66,Qyle,1,,,0,1,0,0,0,0,0,,0,0,0.013377926,warrior
67,Rafe,0,,,0,0,0,0,0,0,0,,0,0,0.006688963,smallfolk
68,Racallio Ryndoon,1,Tyroshi,Kingdom of the Three Daughters,0,0,0,0,0,0,0,,0,0,0.010033445,king
69,Ragnor Pyke,0,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.010033445,warrior
70,Rainbow Knight,0,,,1,0,0,0,0,0,0,,0,0,0.003344482,knight
71,Randa,0,,,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk
72,Rast,1,,Night's Watch,1,1,1,0,0,0,0,,0,0,0.066889632,warrior
74,Raymar Royce,1,,House Royce of the Gates of the Moon,0,0,1,0,0,0,1,,0,0,0.013377926,noble
75,Raymond Nayland,0,,House Nayland,0,0,0,1,0,0,1,,0,0,0.016722408,knight
76,Raymund Tyrell,0,,House Tyrell,0,0,1,1,0,0,0,,0,0,0.127090301,noble
77,Red Oarsman,0,Ironborn,,0,0,0,1,1,0,0,,0,0,0.016722408,warrior
78,Red Lamb,1,Lhazarene,House Targaryen,0,0,0,0,0,0,1,,0,0,0,knight
79,Redtusk,1,,,0,0,0,0,0,0,1,,0,0,0.016722408,knight
81,Redwyn,0,,Night's Watch,0,1,0,0,0,0,0,,0,0,0.006688963,warrior
82,Reynard Webber,0,,House Webber,0,0,0,0,0,0,1,,0,0,0.006688963,noble
83,Reysen,1,,,0,1,0,0,0,0,0,,0,0,0.023411371,warrior
84,Rhaegel Targaryen,1,Valyrian,House Targaryen,0,0,0,0,0,1,1,42,3,1,0.096989967,prince
85,Rhaena Targaryen (daughter of Daemon),0,,House Targaryen,0,0,0,0,0,1,1,100,0,0,0.143812709,knight
86,Rhaena Targaryen (daughter of Aegon III),0,Valyrian,House Targaryen,0,0,0,0,0,0,1,100,0,0,0.073578595,noble
87,Rhaenys Targaryen,0,Valyrian,House Targaryen,1,0,0,0,0,1,1,35,1,1,0.277591973,official
88,Rhaenys Targaryen (daughter of Rhaegar),0,,House Targaryen,1,1,1,1,1,0,1,3,10,1,0.244147157,noble
89,Rhialta Vance,0,,House Vance of Wayfarer's Rest,0,0,0,1,0,0,0,,0,0,0.016722408,noble
90,Rhaenys Targaryen (daughter of Aemon),0,Valyrian,House Targaryen,0,0,0,0,0,1,1,55,0,0,0.143812709,knight
91,Rhonda Rowan,0,,House Rowan,0,0,0,1,0,1,0,,0,0,0.050167224,noble
92,Richard Farrow,0,,House Farrow,0,0,0,1,0,0,1,,0,0,0.016722408,knight
93,Richard Lonmouth,1,,House Lonmouth,0,0,1,0,0,0,1,,0,0,0.023411371,knight
94,Rigney,1,,,0,0,0,1,0,0,1,,0,0,0.003344482,official
95,Rob,1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
96,Rickard Tyrell,1,,House Tyrell,0,0,1,1,0,0,0,,0,0,0.123745819,noble
97,Robb Reyne,1,,House Reyne,0,0,0,0,0,0,1,,0,0,0.006688963,warrior
98,Robert Ashford,1,Reach,House Ashford,0,0,0,0,0,0,1,,0,0,0.023411371,knight
99,Robert Brax (son of Flement),1,,House Brax,0,1,1,1,0,0,0,15,0,0,0.120401338,noble
100,Robert Paege,0,,House Paege,0,0,1,0,0,0,1,,0,0,0.010033445,knight
101,Robb Stark,1,,,0,0,0,0,0,0,0,,7,1,1,king
102,Robin,1,,,0,0,0,1,0,0,0,,0,0,0.016722408,smallfolk
103,Robert Frey (son of Raymund),1,,House Frey,0,1,1,1,0,0,0,22,0,0,0.147157191,official
104,Robin Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,,0,0,0.063545151,noble
105,Robin Hollard,1,,House Hollard,0,0,0,1,0,0,0,,0,0,0.026755853,noble
106,Rodrik Freeborn,1,Ironborn,,0,0,0,1,1,0,0,,0,0,0.013377926,warrior
108,Rodrik Stark (son of Beron),1,Northmen,House Stark,0,0,0,0,1,1,0,,0,0,0.100334448,noble
109,Roger of Pennytree,1,,,0,0,0,0,0,0,0,,0,0,0.030100334,noble
110,Roggo,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
111,Roger Ryswell,1,Northmen,House Ryswell,0,0,0,1,1,0,0,,0,0,0.046822742,noble
112,Rolder,1,,House Lannister,0,0,0,1,0,0,0,,0,0,0,smallfolk
113,Roland Crakehall (Kingsguard),1,,House Crakehall,0,0,0,0,0,0,1,,0,0,0.02006689,noble
115,Rolland Darklyn,1,,House Darklyn,0,0,0,1,0,0,1,,0,0,0.010033445,noble
116,Rollam Westerling,1,,House Westerling,0,0,1,1,0,0,0,15,0,0,0.043478261,noble
117,Romny Weaver,1,Ironborn,House Weaver,0,0,0,1,0,0,0,,0,0,0.02006689,noble
118,Ronald Storm,1,,House Connington,0,0,0,0,1,0,0,,0,0,0.040133779,smallfolk
119,Ronnel Stout,0,Northmen,House Stout,0,0,1,0,0,0,0,,0,0,0.033444816,noble
120,Ronnel Harclay,0,,House Harclay,0,0,1,0,0,0,0,,0,0,0.013377926,warrior
121,Roone,1,,,0,0,0,1,0,0,0,19,0,0,0.040133779,official
122,Roone (maester),1,,,0,0,1,1,0,0,1,,0,0,0.010033445,official
123,Roryn Drumm,0,Ironborn,House Drumm,0,0,0,1,0,0,0,,0,0,0.003344482,noble
124,Roose Ryswell,1,Northmen,House Ryswell,0,0,0,1,1,0,0,,0,0,0.030100334,noble
125,Rosamund Lannister,0,,House Lannister of Lannisport,0,0,0,1,1,0,0,,0,0,0.023411371,noble
126,Rosey,0,,,0,0,0,1,0,0,0,21,0,0,0.030100334,smallfolk
127,Rowan,1,Free folk,,0,0,0,0,1,0,0,,0,0,0.060200669,warrior
128,Rudge,0,,Night's Watch,1,0,0,0,0,0,0,,0,0,0,smallfolk
129,Runciter,1,,,0,0,0,0,0,0,1,,0,0,0.244147157,official
130,Rupert Crabb,0,,House Crabb,0,0,0,1,0,0,1,,0,0,0.006688963,knight
131,Rus,0,Ironmen,Drowned men,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk
132,Rusty Flowers,1,,Night's Watch,0,0,0,0,1,0,0,,0,0,0,smallfolk
133,Ryam,1,,,0,0,0,1,0,0,1,,0,0,0.013377926,official
134,Ryk,1,Free folk,,0,0,1,1,1,1,0,,0,0,0.026755853,smallfolk
135,Ryles,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.013377926,warrior
136,Rymolf,0,Ironborn,House Greyjoy,0,0,0,0,0,0,0,,0,0,0,warrior
137,S'vrone,0,Braavosi,,0,0,0,0,0,0,0,,0,0,0.013377926,smallfolk
139,Sailor's Wife,0,,Happy Port,0,0,0,0,0,0,0,,0,0,0.046822742,smallfolk
140,Sallor,1,Qartheen,Stormcrows,0,0,1,0,0,0,0,,0,0,0.030100334,smallfolk
141,Salloreon,1,,Antler Men,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
142,Sam Stoops,1,,House Osgrey,0,0,0,0,0,0,0,,0,0,0.003344482,smallfolk
143,Samwell Spicer,1,,House Spicer,0,0,1,1,0,0,1,,0,0,0.013377926,noble
144,Sargon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.053511706,noble
146,Sawwood,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,smallfolk
148,Sefton Staunton,1,,House Staunton,0,0,0,0,0,0,0,,0,0,0.030100334,official
149,Serra,0,Lysene,,0,0,0,0,1,1,0,,0,0,0.016722408,smallfolk
150,Sharna,0,,,0,0,1,1,0,1,0,,0,0,0.036789298,smallfolk
151,Shella,0,,,1,0,0,0,0,0,0,,0,0,0.003344482,noble
152,Sherrit,0,,,0,0,1,0,0,0,1,,0,0,0.003344482,king
153,Shortear,0,westermen,House Lannister,0,0,0,1,0,0,0,,0,0,0.013377926,smallfolk
154,Shyra,0,Northmen,House Stark,0,1,0,1,0,0,0,,0,0,0.02006689,smallfolk
155,Sigfry Stonetree,1,Ironborn,House Stonetree,0,0,0,1,0,0,0,,0,0,0.003344482,noble
156,Sigrin,1,Ironborn,House Greyjoy,0,1,1,0,0,0,0,,0,0,0.023411371,smallfolk
157,Simon Leygood,0,,House Leygood,0,0,0,0,0,0,1,,0,0,0.003344482,knight
158,Sky Blue Su,0,,,0,0,1,0,0,0,0,,0,0,0,smallfolk
159,Skinner,1,,House Bolton,0,0,0,0,1,0,0,,0,0,0.033444816,warrior
160,Skittrick,0,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
161,Skyte,1,Ironborn,,0,1,1,1,0,0,0,,0,0,0.023411371,smallfolk
163,Spare Boot,1,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.013377926,smallfolk
164,Softfoot,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.02006689,warrior
165,Spotted Pate of Maidenpool,1,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.013377926,smallfolk
166,Squint,0,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk
167,Squirrel,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.043478261,warrior
168,Steffarion Sparr,1,Ironborn,House Sparr,0,0,0,1,0,0,0,,0,0,0.02006689,noble
169,Stafford Lannister,1,Westerman,House Lannister,1,1,1,1,1,1,1,53,1,1,0.170568562,knight
170,Steffon Fossoway,1,,House Fossoway of Cider Hall,0,0,0,0,0,0,1,,0,0,0.040133779,knight
171,Steffon Hollard,0,,House Hollard,0,0,0,1,0,0,1,,0,0,0.026755853,knight
172,Stannis Baratheon,1,,,0,0,0,0,0,0,0,,4,1,1,king
173,Steffon Varner,1,,House Varner,0,1,0,0,0,0,1,,0,0,0.013377926,knight
174,Stone Thumbs,0,Free Folk,,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk
175,Stonehand,0,Ironborn,,0,0,0,1,1,0,0,,0,0,0.010033445,warrior
177,Sylas,0,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
178,Symon Stripeback,1,,House Targaryen,0,0,0,0,1,0,0,,0,0,0.043478261,smallfolk
179,Symond Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble
180,Tagganaro,1,Braavosi,,0,0,0,1,0,0,0,,0,0,0.030100334,smallfolk
181,Tal Toraq,1,Summer Isles,House Targaryen,0,0,0,0,1,0,0,,0,0,0.023411371,smallfolk
182,Talea,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.02006689,smallfolk
183,Talla Tarly,1,,House Tarly,0,0,1,0,0,0,0,,0,0,0.070234114,noble
184,Tansy,0,,Peach,0,0,1,1,0,0,0,,0,0,0.023411371,smallfolk
185,Tansy (orphan),0,,,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
186,Tarber,1,,,0,1,0,0,0,0,0,,0,0,0.033444816,warrior
187,Terrance Lynderly,0,,House Lynderly,0,0,0,1,0,0,0,,0,0,0.016722408,noble
189,Theo Frey,1,,House Frey,1,0,0,0,0,0,1,,0,0,0.013377926,knight
190,Theobald,1,,,0,0,0,1,0,0,1,,0,0,0.02006689,official
191,Thistle,0,Free Folk,,0,0,0,0,1,0,0,,0,0,0.016722408,warrior
192,Theon Stark,1,Northmen,,0,0,0,0,0,0,0,,0,0,0.056856187,king
193,Thormor Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,0,0,0,,0,0,0.016722408,noble
194,Tim Stone,0,,Night's Watch,0,0,1,1,1,0,0,,0,0,0.016722408,warrior
195,Timon,0,,,0,1,1,0,0,0,1,,0,0,0.006688963,knight
197,Timoth,1,,House Martell,0,0,0,1,0,0,0,,0,0,0.006688963,smallfolk
198,Tobbot,0,,House Clegane,0,1,0,0,0,0,0,,0,0,0.010033445,smallfolk
199,Toefinger,1,Free Folk,,0,0,1,1,0,0,0,,0,0,0.006688963,smallfolk
200,Todric,1,,,0,1,0,0,0,0,0,,0,0,0.016722408,smallfolk
201,Tom Costayne,0,,House Costayne,0,0,0,1,0,0,1,,0,0,0.006688963,noble
202,TomToo,0,Northmen,House Stark,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
203,Tommard Heddle,1,,House Heddle,0,0,0,0,0,0,1,,0,0,0.046822742,knight
204,Toregg,1,Free Folk,,0,0,1,1,1,0,0,,0,0,0.026755853,smallfolk
206,Tothmure,1,,,0,1,0,0,0,0,1,,0,0,0.013377926,official
207,Torrhen Stark,1,Northmen,,0,0,0,0,0,0,0,,0,0,0.090301003,king
208,Tregar,0,,House Lannister,1,0,0,0,0,0,0,,0,0,0.006688963,warrior
209,Tregar Ormollen,1,Lyseni,,0,1,0,1,0,0,0,,0,0,0.023411371,smallfolk
210,Tristan Ryger,0,,House Ryger,0,0,1,0,0,0,0,,0,0,0.006688963,noble
211,Tristifer V Mudd,1,,,0,0,0,0,0,0,0,,0,0,0.016722408,king
212,Tristimun,1,,Sea watch,0,0,1,0,0,0,1,,0,0,0,knight
213,Tristifer IV Mudd,1,,,0,0,0,0,0,0,0,,0,0,0.053511706,king
214,Tuffleberry,0,,,0,1,0,0,0,0,0,,0,0,0.003344482,smallfolk
215,Tumberjon,0,,Night's Watch,0,0,1,0,0,0,0,,0,0,0.010033445,warrior
216,Tumco Lho,1,Ghiscari,,0,0,0,0,1,0,1,,0,0,0.030100334,knight
217,Turnip,0,northmen,House Stark,0,1,0,1,0,0,0,,0,0,0.016722408,smallfolk
218,Turquin,1,,,0,0,1,0,0,0,1,,0,0,0.003344482,official
219,Tybero Istarion,1,,Second Sons,0,0,0,0,1,0,0,,0,0,0.013377926,smallfolk
220,Tymor,1,,House Greyjoy,0,1,0,0,0,0,0,,0,0,0.006688963,smallfolk
222,Tywin Frey (son of Raymund),1,,House Frey,0,0,0,1,0,0,0,6,0,0,0.133779264,noble
223,Uller,1,Ironborn,House Greyjoy,0,1,1,1,0,0,0,,0,0,0.023411371,smallfolk
225,Umfred,0,,House Baelish,0,0,1,0,0,0,0,,0,0,0.003344482,smallfolk
227,Urreg,0,,,0,1,0,0,0,0,0,,0,0,0.010033445,warrior
228,Urek Ironmaker,1,Ironborn,House Ironmaker,0,0,0,1,0,0,0,,0,0,0.016722408,noble
229,Urrathon,0,Qartheen,,0,1,0,0,0,0,0,,0,0,0.013377926,smallfolk
230,Urzen,1,Ironborn,House Greyjoy,0,1,1,0,0,0,0,,0,0,0.02006689,warrior
231,Urron Greyiron,1,Ironborn,,0,0,0,0,0,0,0,,0,0,0.040133779,king
232,Urrigon Greyjoy,1,Ironborn,House Greyjoy,0,0,0,1,0,0,0,37,0,0,0.073578595,noble
233,Uthor Underleaf,1,,,0,0,0,0,0,0,1,100,0,0,0.050167224,knight
234,Utt,1,,Brave Companions,0,1,1,0,0,0,0,,0,0,0.023411371,official
235,Vaellyn,1,,,0,0,0,1,0,0,1,,0,0,0.013377926,official
236,Varly,0,northmen,House Stark,1,0,0,0,0,0,0,,0,0,0.016722408,smallfolk
237,Veiled Lady,0,Braavosi,,0,0,0,1,0,0,0,,0,0,0.010033445,smallfolk
238,Vickon Botley,1,Ironborn,House Botley,0,0,0,1,0,0,0,,0,0,0.046822742,noble
